Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,301.0693,301.0578,0
1,90,31.0583,31.0535,1
1,180,120.5365,120.5271,1
1,270,211.333,211.3338,1
2,0,301.0748,301.0686,1
2,90,31.0474,31.0503,0
2,180,120.5255,120.525,0
2,270,211.344,211.3382,1
3,0,301.0583,301.0712,1
3,90,31.0474,31.0471,0
3,180,120.5255,120.5304,1
3,270,211.333,211.3299,0
4,0,301.0693,301.0677,1
4,90,31.0474,31.0447,1
4,180,120.52,120.5288,0
4,270,211.3385,211.3389,0
5,0,301.0748,301.0707,0
5,90,31.0474,31.0458,1
5,180,120.5255,120.5333,0
5,270,211.3385,211.3383,0
6,0,301.0693,301.0635,1
6,90,31.0474,31.0494,0
6,180,120.52,120.5277,1
6,270,211.333,211.3334,0
7,0,301.0529,301.0621,1
7,90,31.0419,31.0469,1
7,180,120.531,120.528,0
7,270,211.333,211.3341,0
8,0,301.0693,301.0675,1
8,90,31.0529,31.0504,1
8,180,120.531,120.5288,0
8,270,211.3275,211.329,0
9,0,301.0638,301.0675,1
9,90,31.0474,31.0443,1
9,180,120.5365,120.5375,0
9,270,211.333,211.3347,0
10,0,301.0748,301.0695,1
10,90,31.0474,31.0486,1
10,180,120.531,120.5292,1
10,270,211.333,211.3375,1
11,0,301.0638,301.0694,0
11,90,31.0474,31.0492,0
11,180,120.531,120.5287,1
11,270,211.333,211.3351,1
12,0,301.0638,301.0674,1
12,90,31.0364,31.0405,1
12,180,120.531,120.5317,1
12,270,211.3495,211.3385,1
13,0,301.0748,301.0682,1
13,90,31.0474,31.0473,0
13,180,120.5255,120.5242,1
13,270,211.344,211.3416,1
14,0,301.0693,301.0653,0
14,90,31.0419,31.0449,0
14,180,120.5365,120.5286,0
14,270,211.333,211.3386,1
15,0,301.0693,301.0633,0
15,90,31.0364,31.0436,0
15,180,120.531,120.5342,1
15,270,211.344,211.3448,0
16,0,301.0529,301.0601,1
16,90,31.0474,31.0468,0
16,180,120.5255,120.5292,1
16,270,211.3385,211.335,1
17,0,301.0638,301.0616,1
17,90,31.0419,31.0474,0
17,180,120.531,120.5327,1
17,270,211.333,211.3348,0
18,0,301.0583,301.0559,1
18,90,31.0419,31.0483,0
18,180,120.5255,120.5303,1
18,270,211.3385,211.3347,0
19,0,301.0638,301.0631,1
19,90,31.0529,31.0512,1
19,180,120.5365,120.5267,0
19,270,211.333,211.336,0
20,0,301.0693,301.069,1
20,90,31.0474,31.0458,1
20,180,120.531,120.5293,0
20,270,211.344,211.3391,1
21,0,301.0638,301.0674,1
21,90,31.0474,31.0468,0
21,180,120.531,120.5246,0
21,270,211.344,211.3433,0
22,0,301.0748,301.07,1
22,90,31.0364,31.0445,1
22,180,120.531,120.5317,1
22,270,211.3385,211.3368,1
23,0,301.0638,301.0679,1
23,90,31.0419,31.039,1
23,180,120.5255,120.5292,0
23,270,211.3385,211.3412,1
24,0,301.0748,301.0646,0
24,90,31.0474,31.0448,0
24,180,120.531,120.5283,1
24,270,211.344,211.3393,0
25,0,301.0583,301.0597,0
25,90,31.0364,31.0454,1
25,180,120.5365,120.5362,1
25,270,211.3385,211.3393,1
26,0,301.0638,301.0626,1
26,90,31.0529,31.0488,0
26,180,120.531,120.5302,1
26,270,211.344,211.3427,1
27,0,301.0748,301.0668,0
27,90,31.0364,31.0464,1
27,180,120.5255,120.5252,1
27,270,211.333,211.3365,1
28,0,301.0638,301.0644,1
28,90,31.0529,31.0523,0
28,180,120.531,120.5314,1
28,270,211.3385,211.3377,0
29,0,301.0638,301.0678,1
29,90,31.0364,31.0462,1
29,180,120.5255,120.5225,0
29,270,211.344,211.3393,1
30,0,301.0638,301.0673,1
30,90,31.0529,31.0503,0
30,180,120.531,120.5276,1
30,270,211.3385,211.3379,0
31,0,301.0748,301.0687,1
31,90,31.0364,31.0456,1
31,180,120.531,120.5295,1
31,270,211.344,211.3454,1
32,0,301.0693,301.0732,1
32,90,31.0364,31.0401,1
32,180,120.5365,120.5294,1
32,270,211.3385,211.3378,0
33,0,301.0748,301.067,1
33,90,31.0474,31.0451,0
33,180,120.531,120.5321,1
33,270,211.355,211.3405,1
34,0,301.0638,301.0601,0
34,90,31.0529,31.0465,0
34,180,120.531,120.5339,0
34,270,211.3495,211.3465,1
35,0,301.0638,301.0569,0
35,90,31.0364,31.047,1
35,180,120.5255,120.527,1
35,270,211.333,211.3371,1
36,0,301.0583,301.0599,0
36,90,31.0474,31.0459,1
36,180,120.531,120.5336,1
36,270,211.3385,211.3415,1
37,0,301.0638,301.0592,1
37,90,31.0474,31.0472,1
37,180,120.5365,120.5299,1
37,270,211.333,211.3415,1
38,0,301.0638,301.0614,0
38,90,31.0529,31.051,1
38,180,120.5255,120.522,1
38,270,211.3385,211.3384,1
39,0,301.0638,301.0642,1
39,90,31.0529,31.0469,1
39,180,120.5255,120.529,1
39,270,211.3495,211.3431,1
40,0,301.0748,301.0704,0
40,90,31.0419,31.0457,1
40,180,120.5145,120.522,0
40,270,211.333,211.3403,1
41,0,301.0693,301.0692,1
41,90,31.0474,31.0499,0
41,180,120.5365,120.524,0
41,270,211.344,211.3415,1
42,0,301.0638,301.0667,0
42,90,31.0474,31.046,1
42,180,120.531,120.5282,1
42,270,211.344,211.3444,1
43,0,301.0693,301.0672,1
43,90,31.0364,31.0427,1
43,180,120.531,120.5301,0
43,270,211.344,211.3413,1
44,0,301.0638,301.0627,1
44,90,31.0474,31.0437,1
44,180,120.531,120.5319,1
44,270,211.344,211.3373,1
45,0,301.0638,301.0646,1
45,90,31.0364,31.0452,1
45,180,120.5365,120.5285,1
45,270,211.3495,211.3442,1
46,0,301.0638,301.0589,1
46,90,31.0419,31.0481,0
46,180,120.531,120.5277,0
46,270,211.3385,211.335,0
47,0,301.0638,301.0638,1
47,90,31.0474,31.0475,1
47,180,120.5365,120.5343,1
47,270,211.3385,211.3356,0
48,0,301.0638,301.0668,1
48,90,31.0419,31.0435,0
48,180,120.5255,120.5222,0
48,270,211.344,211.3394,1
49,0,301.0693,301.0678,1
49,90,31.0419,31.0462,0
49,180,120.5255,120.5224,0
49,270,211.333,211.3346,0
50,0,301.0638,301.0696,1
50,90,31.0419,31.0436,1
50,180,120.531,120.53,1
50,270,211.333,211.3409,1
51,0,301.0693,301.074,0
51,90,31.0419,31.0461,1
51,180,120.5255,120.526,0
51,270,211.3385,211.3378,0
52,0,301.0748,301.0682,0
52,90,31.0474,31.0467,1
52,180,120.531,120.5284,0
52,270,211.3495,211.3472,0
53,0,301.0583,301.0664,0
53,90,31.0419,31.0404,0
53,180,120.5365,120.5382,0
53,270,211.3385,211.3401,0
54,0,301.0638,301.0607,1
54,90,31.0474,31.0436,1
54,180,120.52,120.5261,1
54,270,211.3385,211.3352,1
55,0,301.0583,301.0624,1
55,90,31.0583,31.046,0
55,180,120.531,120.5358,1
55,270,211.344,211.3344,0
56,0,301.0638,301.0674,1
56,90,31.0364,31.0439,0
56,180,120.5365,120.5304,1
56,270,211.3385,211.3361,1
57,0,301.0583,301.0678,1
57,90,31.0529,31.0523,1
57,180,120.5255,120.5291,0
57,270,211.333,211.3365,0
58,0,301.0638,301.0641,1
58,90,31.0474,31.046,1
58,180,120.5255,120.5315,0
58,270,211.3385,211.3372,1
59,0,301.0638,301.0678,1
59,90,31.0474,31.0461,0
59,180,120.5255,120.5224,0
59,270,211.3385,211.3463,1
60,0,301.0638,301.0667,1
60,90,31.0529,31.0485,1
60,180,120.52,120.5248,1
60,270,211.3495,211.3406,1
61,0,301.0693,301.0633,0
61,90,31.0309,31.0375,0
61,180,120.531,120.5342,1
61,270,211.344,211.3409,1
62,0,301.0638,301.0663,1
62,90,31.0364,31.0452,0
62,180,120.531,120.5299,1
62,270,211.344,211.3422,0
63,0,301.0583,301.0577,0
63,90,31.0474,31.0479,1
63,180,120.5365,120.5364,0
63,270,211.333,211.3402,1
64,0,301.0693,301.0628,1
64,90,31.0419,31.0441,1
64,180,120.531,120.5262,0
64,270,211.333,211.3386,1
65,0,301.0583,301.0594,1
65,90,31.0529,31.0495,0
65,180,120.5365,120.5284,1
65,270,211.344,211.3349,0
66,0,301.0638,301.0615,1
66,90,31.0474,31.0444,1
66,180,120.531,120.5351,0
66,270,211.3385,211.3383,1
67,0,301.0693,301.0664,1
67,90,31.0419,31.0466,0
67,180,120.52,120.5233,0
67,270,211.3385,211.3393,1
68,0,301.0583,301.0662,1
68,90,31.0474,31.0491,0
68,180,120.5365,120.5291,1
68,270,211.344,211.3384,1
