Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,127.34253,127.35504,14
1,90,36.50757,36.48258,54
1,180,308.27637,308.25742,56
1,270,218.22144,218.21313,48
2,0,127.38647,127.36295,22
2,90,36.47461,36.48908,50
2,180,308.26538,308.26019,54
2,270,218.19946,218.21875,42
3,0,127.37549,127.36404,22
3,90,36.4856,36.49439,48
3,180,308.26538,308.25693,52
3,270,218.22144,218.21396,46
4,0,127.37549,127.35724,20
4,90,36.4856,36.49342,48
4,180,308.26538,308.25708,54
4,270,218.21045,218.22124,46
5,0,127.38647,127.35847,22
5,90,36.49658,36.49299,52
5,180,308.25439,308.2558,54
5,270,218.19946,218.21883,42
6,0,127.38647,127.36156,24
6,90,36.49658,36.49755,54
6,180,308.24341,308.24982,50
6,270,218.22144,218.21584,46
7,0,127.37549,127.35782,22
7,90,36.50757,36.49068,56
7,180,308.25439,308.25046,50
7,270,218.19946,218.2253,42
8,0,127.38647,127.35935,22
8,90,36.50757,36.48936,54
8,180,308.24341,308.25378,50
8,270,218.24341,218.22145,50
9,0,127.37549,127.35328,20
9,90,36.4856,36.48962,50
9,180,308.30933,308.26089,62
9,270,218.24341,218.22389,50
10,0,127.34253,127.34812,14
10,90,36.47461,36.48803,48
10,180,308.27637,308.26865,56
10,270,218.21045,218.22029,44
11,0,127.34253,127.34734,14
11,90,36.47461,36.48477,48
11,180,308.29834,308.27905,62
11,270,218.24341,218.2195,48
12,0,127.34253,127.33921,14
12,90,36.50757,36.49292,56
12,180,308.3313,308.28174,2
12,270,218.24341,218.21878,50
13,0,127.3645,127.33854,18
13,90,36.50757,36.49806,52
13,180,308.26538,308.27213,54
13,270,218.19946,218.20694,40
14,0,127.37549,127.33935,20
14,90,36.50757,36.50788,52
14,180,308.27637,308.2702,56
14,270,218.19946,218.1991,44
15,0,127.34253,127.34318,14
15,90,36.54053,36.4993,60
15,180,308.26538,308.26913,58
15,270,218.18848,218.19983,42
16,0,127.35352,127.3423,14
16,90,36.51855,36.5074,56
16,180,308.26538,308.26642,54
16,270,218.1665,218.18773,36
17,0,127.33154,127.33746,12
17,90,36.50757,36.50522,56
17,180,308.27637,308.26544,56
17,270,218.18848,218.20169,40
18,0,127.34253,127.341,14
18,90,36.51855,36.49976,54
18,180,308.32031,308.27094,0
18,270,218.24341,218.19666,50
19,0,127.34253,127.34073,16
19,90,36.54053,36.50041,60
19,180,308.28735,308.27725,58
19,270,218.21045,218.1964,42
20,0,127.35352,127.33076,14
20,90,36.4856,36.49524,50
20,180,308.29834,308.28027,60
20,270,218.21045,218.19469,44
21,0,127.34253,127.32611,14
21,90,36.47461,36.49677,48
21,180,308.27637,308.28351,56
21,270,218.21045,218.19344,42
22,0,127.34253,127.32785,14
22,90,36.51855,36.50349,56
22,180,308.30933,308.28491,62
22,270,218.18848,218.18578,40
23,0,127.33154,127.32644,12
23,90,36.4856,36.49504,52
23,180,308.25439,308.2825,52
23,270,218.17749,218.18147,38
