Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,352.46338,352.55804,36
1,30,323.18481,323.28348,16
1,60,293.52173,293.64117,58
1,90,263.39722,263.49509,14
1,120,233.26172,233.3575,32
1,150,203.08228,203.1739,40
1,180,172.90283,173.01849,52
1,210,142.86621,142.97958,24
1,240,112.39014,112.54432,42
1,270,81.85913,81.97388,54
1,300,51.76758,51.88557,16
1,330,22.07153,22.17431,50
2,0,352.45239,352.58127,34
2,30,323.17383,323.28464,14
2,60,293.53271,293.6424,60
2,90,263.39722,263.50101,14
2,120,233.25073,233.36232,32
2,150,203.07129,203.17705,40
2,180,172.90283,173.0285,50
2,210,142.84424,142.98637,20
2,240,112.44507,112.54967,54
2,270,81.82617,81.97733,50
2,300,51.76758,51.89384,18
2,330,22.07153,22.18689,50
3,0,352.50732,352.59537,44
3,30,323.17383,323.29391,16
3,60,293.51074,293.6395,56
3,90,263.39722,263.49924,14
3,120,233.23975,233.36342,28
3,150,203.08228,203.17052,40
3,180,172.90283,173.02251,52
3,210,142.85522,142.97598,22
3,240,112.41211,112.55248,50
3,270,81.83716,81.98207,50
3,300,51.75659,51.89292,14
3,330,22.07153,22.19027,52
4,0,352.50732,352.5928,44
4,30,323.1958,323.29889,18
4,60,293.55469,293.65637,0
4,90,263.36426,263.50311,8
4,120,233.21777,233.36861,24
4,150,203.03833,203.17644,34
4,180,172.94678,173.02988,60
4,210,142.88818,142.99442,30
4,240,112.44507,112.56319,54
4,270,81.84814,81.99325,52
4,300,51.80054,51.90056,22
4,330,22.07153,22.19625,52
5,0,352.47437,352.60147,38
5,30,323.18481,323.29953,16
5,60,293.52173,293.64615,60
5,90,263.39722,263.50333,14
5,120,233.25073,233.36746,30
5,150,203.03833,203.18199,34
5,180,172.93579,173.03993,58
5,210,142.84424,142.98958,20
5,240,112.4231,112.56121,50
5,270,81.89209,81.99493,60
5,300,51.75659,51.9073,12
5,330,22.07153,22.20313,50
6,0,352.47437,352.60703,38
6,30,323.18481,323.30362,16
6,60,293.53271,293.66006,60
6,90,263.39722,263.51419,14
6,120,233.25073,233.37448,32
6,150,203.03833,203.18733,36
6,180,172.89185,173.0338,50
6,210,142.8772,142.99359,26
6,240,112.44507,112.56706,54
6,270,81.8811,81.99954,58
6,300,51.76758,51.9091,16
6,330,22.08252,22.19556,52
7,0,352.50732,352.60516,44
7,30,323.17383,323.30606,16
7,60,293.5437,293.65573,62
7,90,263.3313,263.50699,4
7,120,233.25073,233.37712,30
7,150,203.07129,203.19473,38
7,180,172.90283,173.05132,52
7,210,142.85522,143.00752,22
7,240,112.44507,112.57343,54
7,270,81.85913,82.00798,54
7,300,51.76758,51.91583,16
7,330,22.07153,22.20313,52
8,0,352.45239,352.61169,34
8,30,323.14087,323.31378,10
8,60,293.52173,293.65543,56
8,90,263.38623,263.50739,12
8,120,233.25073,233.37289,30
8,150,203.04932,203.1985,34
8,180,172.88086,173.04489,48
8,210,142.88818,143.00922,28
8,240,112.44507,112.5761,54
8,270,81.84814,82.00623,52
8,300,51.74561,51.91472,12
8,330,22.06055,22.20671,48
9,0,352.49634,352.61478,44
9,30,323.15186,323.30905,10
9,60,293.53271,293.66684,60
9,90,263.37524,263.52252,10
9,120,233.25073,233.38795,30
9,150,203.04932,203.2005,36
9,180,172.9248,173.054,56
9,210,142.88818,143.01224,28
9,240,112.41211,112.57451,50
9,270,81.85913,82.00337,54
9,300,51.72363,51.91411,10
9,330,22.07153,22.20317,50
10,0,352.47437,352.59955,40
10,30,323.16284,323.30692,14
10,60,293.55469,293.66196,62
10,90,263.39722,263.52405,14
10,120,233.26172,233.38544,30
10,150,203.0603,203.20403,38
10,180,172.9248,173.05582,58
10,210,142.8772,143.01599,26
10,240,112.44507,112.57808,54
10,270,81.85913,82.00451,54
10,300,51.75659,51.92265,14
10,330,22.06055,22.2082,50
11,0,352.47437,352.61978,38
11,30,323.14087,323.31412,10
11,60,293.52173,293.66837,58
11,90,263.36426,263.53012,8
11,120,233.22876,233.39079,26
11,150,203.07129,203.20766,40
11,180,172.89185,173.05382,52
11,210,142.8772,143.00571,26
11,240,112.44507,112.57941,54
11,270,81.8811,82.00331,58
11,300,51.76758,51.92889,16
11,330,22.06055,22.21303,48
12,0,352.47437,352.62122,38
12,30,323.15186,323.31888,12
12,60,293.53271,293.67737,60
12,90,263.36426,263.53818,8
12,120,233.25073,233.40045,30
12,150,203.08228,203.20877,40
12,180,172.89185,173.05753,50
12,210,142.85522,143.01691,22
12,240,112.44507,112.58751,54
12,270,81.84814,82.00964,50
12,300,51.77856,51.93032,18
12,330,22.06055,22.21349,50
13,0,352.48535,352.62219,40
13,30,323.16284,323.32098,14
13,60,293.51074,293.67947,58
13,90,263.39722,263.53607,14
13,120,233.25073,233.39673,32
13,150,203.04932,203.21179,38
13,180,172.95776,173.06302,62
13,210,142.85522,143.0188,22
13,240,112.44507,112.58997,54
13,270,81.85913,82.01573,54
13,300,51.76758,51.93267,16
13,330,22.07153,22.22278,48
14,0,352.45239,352.63159,34
14,30,323.15186,323.33142,12
14,60,293.55469,293.68405,62
14,90,263.36426,263.53436,8
14,120,233.22876,233.40247,26
14,150,203.07129,203.21584,42
14,180,172.93579,173.06964,58
14,210,142.8772,143.02263,26
14,240,112.44507,112.59063,54
14,270,81.89209,82.01927,60
14,300,51.80054,51.93098,22
14,330,22.06055,22.22275,48
15,0,352.49634,352.63614,42
15,30,323.18481,323.33127,18
15,60,293.53271,293.68799,62
15,90,263.38623,263.54398,12
15,120,233.21777,233.40779,22
15,150,203.08228,203.21869,40
15,180,172.93579,173.07623,58
15,210,142.89917,143.03581,28
15,240,112.44507,112.59837,54
15,270,81.85913,82.03028,54
15,300,51.76758,51.9395,16
15,330,22.07153,22.22987,50
16,0,352.45239,352.6373,34
16,30,323.15186,323.33646,12
16,60,293.49976,293.68613,56
16,90,263.35327,263.53232,8
16,120,233.1958,233.40198,20
16,150,203.04932,203.22166,36
16,180,172.93579,173.07309,56
16,210,142.88818,143.03003,26
16,240,112.44507,112.59953,56
16,270,81.85913,82.03709,54
16,300,51.76758,51.94421,16
16,330,22.06055,22.23409,48
17,0,352.50732,352.64615,46
17,30,323.20679,323.34726,22
17,60,293.53271,293.68622,60
17,90,263.36426,263.53439,6
17,120,233.21777,233.40927,24
17,150,203.08228,203.22925,40
17,180,172.96875,173.09227,62
17,210,142.91016,143.04646,30
17,240,112.43408,112.60606,52
17,270,81.8811,82.03661,60
17,300,51.80054,51.94117,22
17,330,22.07153,22.23001,50
18,0,352.47437,352.63974,40
18,30,323.1958,323.34326,20
18,60,293.53271,293.68875,62
18,90,263.35327,263.54099,6
18,120,233.21777,233.40901,24
18,150,203.07129,203.22913,40
18,180,172.89185,173.08647,50
18,210,142.8772,143.0453,26
18,240,112.44507,112.60166,54
18,270,81.83716,82.0375,50
18,300,51.80054,51.9479,20
18,330,22.06055,22.23588,50
19,0,352.49634,352.64542,42
19,30,323.17383,323.34833,16
19,60,293.52173,293.69046,58
19,90,263.35327,263.54446,6
19,120,233.20679,233.41194,22
19,150,203.08228,203.22923,40
19,180,172.91382,173.08087,52
19,210,142.8772,143.03705,26
19,240,112.4231,112.60162,50
19,270,81.84814,82.03087,52
19,300,51.78955,51.94815,22
19,330,22.04956,22.2407,44
20,0,352.45239,352.64304,34
20,30,323.17383,323.3396,16
20,60,293.52173,293.6983,58
20,90,263.39722,263.55444,16
20,120,233.21777,233.42084,24
20,150,203.04932,203.23621,34
20,180,172.95776,173.09102,62
20,210,142.88818,143.04745,28
20,240,112.44507,112.60822,54
20,270,81.85913,82.03833,54
20,300,51.76758,51.94967,16
20,330,22.06055,22.23578,48
21,0,352.49634,352.64462,44
21,30,323.14087,323.34387,12
21,60,293.55469,293.69565,0
21,90,263.39722,263.56049,14
21,120,233.21777,233.422,24
21,150,203.08228,203.23999,42
21,180,172.90283,173.09111,50
21,210,142.8772,143.05119,26
21,240,112.4231,112.61276,50
21,270,81.8811,82.04,58
21,300,51.77856,51.96043,20
21,330,22.06055,22.24497,50
22,0,352.47437,352.65598,38
22,30,323.17383,323.35718,16
22,60,293.52173,293.69958,58
22,90,263.37524,263.56888,10
22,120,233.25073,233.43173,28
22,150,203.0603,203.23746,38
22,180,172.90283,173.08617,50
22,210,142.86621,143.04562,24
22,240,112.44507,112.60938,54
22,270,81.85913,82.0354,54
22,300,51.81152,51.96736,24
22,330,22.08252,22.24991,54
23,0,352.45239,352.65219,34
23,30,323.17383,323.36533,16
23,60,293.53271,293.71045,60
23,90,263.4082,263.57269,16
23,120,233.22876,233.4342,24
23,150,203.04932,203.24028,34
23,180,172.9248,173.08905,56
23,210,142.8772,143.04633,26
23,240,112.4231,112.61966,48
23,270,81.85913,82.04411,54
23,300,51.75659,51.96846,12
23,330,22.07153,22.24957,50
24,0,352.48535,352.65399,38
24,30,323.1958,323.36505,18
24,60,293.53271,293.70645,60
24,90,263.39722,263.5766,14
24,120,233.22876,233.43419,26
24,150,203.08228,203.24309,42
24,180,172.86987,173.09436,46
24,210,142.8772,143.05124,26
24,240,112.41211,112.61427,46
24,270,81.85913,82.05026,54
24,300,51.77856,51.98426,18
24,330,22.03857,22.26529,44
25,0,352.49634,352.66351,42
25,30,323.20679,323.37726,22
25,60,293.52173,293.71402,58
25,90,263.39722,263.58066,14
25,120,233.26172,233.44382,32
25,150,203.07129,203.25151,40
25,180,172.89185,173.0994,52
25,210,142.84424,143.04411,20
25,240,112.43408,112.61919,54
25,270,81.82617,82.0537,50
25,300,51.78955,51.98205,20
25,330,22.06055,22.25906,50
26,0,352.48535,352.66333,40
26,30,323.14087,323.36545,10
26,60,293.52173,293.70966,58
26,90,263.38623,263.57794,14
26,120,233.25073,233.44261,30
26,150,203.03833,203.25623,34
26,180,172.94678,173.11327,60
26,210,142.85522,143.07228,24
26,240,112.44507,112.63924,54
26,270,81.85913,82.07019,54
26,300,51.80054,51.97937,22
26,330,22.04956,22.26173,46
27,0,352.48535,352.67224,42
27,30,323.14087,323.36978,10
27,60,293.53271,293.72177,60
27,90,263.38623,263.55606,10
27,120,233.21777,233.43709,24
27,150,203.07129,203.25452,40
27,180,172.90283,173.1227,50
27,210,142.8772,143.06895,26
27,240,112.45605,112.63228,54
27,270,81.8811,82.0619,58
27,300,51.76758,51.97694,16
27,330,22.03857,22.25988,44
28,0,352.50732,352.68225,44
28,30,323.14087,323.37308,10
28,60,293.53271,293.72733,60
28,90,263.36426,263.57239,8
28,120,233.21777,233.446,22
28,150,203.07129,203.25951,40
28,180,172.9248,173.12372,56
28,210,142.8772,143.06969,26
28,240,112.4231,112.63849,48
28,270,81.82617,82.0702,48
28,300,51.75659,51.9734,14
28,330,22.09351,22.25942,54
29,0,352.45239,352.67575,34
29,30,323.16284,323.37662,14
29,60,293.52173,293.72406,58
29,90,263.36426,263.57153,8
29,120,233.26172,233.44063,30
29,150,203.03833,203.25871,34
29,180,172.9248,173.12508,56
29,210,142.89917,143.07021,28
29,240,112.4231,112.63987,50
29,270,81.89209,82.07409,60
29,300,51.80054,51.98181,22
29,330,22.08252,22.26671,54
30,0,352.50732,352.68915,42
30,30,323.1958,323.3848,22
30,60,293.52173,293.72836,58
30,90,263.34229,263.5683,4
30,120,233.26172,233.4481,30
30,150,203.07129,203.25694,40
30,180,172.91382,173.12981,52
30,210,142.8772,143.06944,26
30,240,112.41211,112.63769,48
30,270,81.85913,82.06497,54
30,300,51.76758,51.97898,16
30,330,22.06055,22.26718,46
31,0,352.48535,352.68652,38
31,30,323.14087,323.37833,12
31,60,293.51074,293.73975,56
31,90,263.39722,263.58386,14
31,120,233.25073,233.45604,28
31,150,203.07129,203.26927,40
31,180,172.89185,173.12312,50
31,210,142.86621,143.07712,26
31,240,112.39014,112.64413,48
31,270,81.89209,82.07091,58
31,300,51.76758,51.9863,16
31,330,22.08252,22.27106,52
32,0,352.51831,352.68823,44
32,30,323.17383,323.38593,16
32,60,293.51074,293.73267,58
32,90,263.34229,263.5748,4
32,120,233.22876,233.44649,28
32,150,203.03833,203.26407,36
32,180,172.94678,173.12553,60
32,210,142.88818,143.07759,28
32,240,112.4231,112.64199,50
32,270,81.85913,82.06683,54
32,300,51.80054,51.99499,22
32,330,22.07153,22.27275,50
33,0,352.50732,352.69028,44
33,30,323.18481,323.38394,20
33,60,293.55469,293.73859,62
33,90,263.39722,263.59723,14
33,120,233.21777,233.45906,24
33,150,203.04932,203.27408,38
33,180,172.89185,173.12991,50
33,210,142.8772,143.07253,26
33,240,112.43408,112.64549,54
33,270,81.83716,82.07099,50
33,300,51.76758,51.99494,16
33,330,22.06055,22.27759,50
34,0,352.51831,352.69055,44
34,30,323.17383,323.38278,16
34,60,293.5437,293.73672,60
34,90,263.39722,263.60458,14
34,120,233.21777,233.46419,24
