Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,150.359,150.369,0
1,30,120.586,120.6,0
1,60,90.824,90.844,0
1,90,61.029,61.029,0
1,120,31.124,31.135,0
1,150,1.307,1.318,0
1,180,331.238,331.23,0
1,210,300.784,300.795,0
1,240,270.648,270.637,0
1,270,240.447,240.458,0
1,300,210.015,210.037,0
1,330,179.978,179.996,0
2,0,150.315,150.305,0
2,30,120.542,120.564,0
2,60,90.835,90.828,0
2,90,61.018,61.029,0
2,120,31.113,31.139,0
2,150,1.329,1.329,0
2,180,331.238,331.233,0
2,210,300.795,300.789,0
2,240,270.648,270.637,0
2,270,240.502,240.473,0
2,300,210.026,210.028,0
2,330,179.967,179.989,0
3,0,150.304,150.315,0
3,30,120.564,120.561,0
3,60,90.835,90.826,0
3,90,61.018,61.025,0
3,120,31.102,31.126,0
3,150,1.34,1.33,0
3,180,331.238,331.238,0
3,210,300.817,300.806,0
3,240,270.604,270.647,0
3,270,240.48,240.47,0
3,300,210.015,210.037,0
3,330,180.0,179.99,0
4,0,150.315,150.308,0
4,30,120.564,120.558,0
4,60,90.824,90.824,0
4,90,61.018,61.026,0
4,120,31.124,31.132,0
4,150,1.318,1.329,0
4,180,331.227,331.237,0
4,210,300.806,300.806,0
4,240,270.648,270.636,0
4,270,240.48,240.469,0
4,300,210.037,210.032,0
4,330,179.989,179.985,0
5,0,150.293,150.304,0
5,30,120.575,120.553,0
5,60,90.846,90.827,0
5,90,61.029,61.04,0
5,120,31.157,31.14,0
5,150,1.329,1.34,0
5,180,331.249,331.239,0
5,210,300.784,300.807,0
5,240,270.659,270.646,0
5,270,240.436,240.465,0
5,300,210.004,210.036,0
5,330,179.956,179.978,0
6,0,150.293,150.292,0
6,30,120.553,120.553,0
6,60,90.813,90.824,0
6,90,61.018,61.032,0
6,120,31.135,31.136,0
6,150,1.34,1.329,0
6,180,331.249,331.249,0
6,210,300.839,300.817,0
6,240,270.659,270.648,0
6,270,240.48,240.469,0
6,300,210.026,210.032,0
6,330,179.978,179.98,0
7,0,150.326,150.298,0
7,30,120.52,120.56,0
7,60,90.824,90.824,0
7,90,61.007,61.024,0
7,120,31.124,31.124,0
7,150,1.318,1.329,0
7,180,331.238,331.244,0
7,210,300.795,300.795,0
7,240,270.626,270.637,0
7,270,240.48,240.46,0
7,300,210.026,210.032,0
7,330,179.978,179.978,0
8,0,150.315,150.293,0
8,30,120.542,120.551,0
8,60,90.802,90.829,0
8,90,61.029,61.039,0
8,120,31.135,31.146,0
8,150,1.34,1.34,0
8,180,331.238,331.241,0
8,210,300.795,300.8,0
8,240,270.637,270.637,0
8,270,240.469,240.469,0
8,300,210.037,210.036,0
8,330,180.0,179.982,0
9,0,150.315,150.293,0
9,30,120.553,120.553,0
9,60,90.802,90.817,0
9,90,61.051,61.02,0
9,120,31.124,31.135,0
9,150,1.329,1.329,0
9,180,331.249,331.24,0
9,210,300.795,300.805,0
9,240,270.637,270.637,0
9,270,240.48,240.471,0
9,300,210.037,210.027,0
9,330,179.989,179.978,0
10,0,150.304,150.285,0
10,30,120.542,120.543,0
10,60,90.813,90.811,0
10,90,61.007,61.018,0
10,120,31.135,31.131,0
10,150,1.362,1.34,0
10,180,331.26,331.25,0
10,210,300.828,300.817,0
10,240,270.637,270.658,0
10,270,240.447,240.475,0
10,300,210.026,210.027,0
10,330,179.978,179.982,0
11,0,150.293,150.292,0
11,30,120.553,120.549,0
11,60,90.813,90.813,0
11,90,61.018,61.018,0
11,120,31.113,31.135,0
11,150,1.34,1.338,0
11,180,331.249,331.24,0
11,210,300.817,300.828,0
11,240,270.648,270.659,0
11,270,240.48,240.474,0
11,300,210.015,210.033,0
11,330,180.0,179.989,0
12,0,150.304,150.298,0
12,30,120.553,120.553,0
12,60,90.824,90.822,0
