Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,190.107,190.101,0
1,30,160.433,160.421,0
1,60,130.671,130.661,0
1,90,100.92,100.919,0
1,120,71.334,71.334,0
1,150,41.407,41.401,0
1,180,11.667,11.671,0
1,210,341.949,341.954,0
1,240,311.539,311.521,0
1,270,281.14,281.137,0
1,300,251.115,251.118,0
1,330,220.485,220.478,0
2,0,190.074,190.061,0
2,30,160.422,160.401,0
2,60,130.682,130.652,0
2,90,100.92,100.915,0
2,120,71.356,71.333,0
2,150,41.429,41.405,0
2,180,11.656,11.668,0
2,210,341.971,341.951,0
2,240,311.528,311.519,0
2,270,281.151,281.138,0
2,300,251.125,251.119,0
2,330,220.485,220.485,0
3,0,190.052,190.063,0
3,30,160.378,160.399,0
3,60,130.66,130.653,0
3,90,100.92,100.911,0
3,120,71.356,71.328,0
3,150,41.396,41.398,0
3,180,11.667,11.664,0
3,210,341.96,341.949,0
3,240,311.539,311.522,0
3,270,281.151,281.143,0
3,300,251.136,251.129,0
3,330,220.496,220.488,0
4,0,190.063,190.066,0
4,30,160.378,160.401,0
4,60,130.638,130.646,0
4,90,100.887,100.904,0
4,120,71.345,71.32,0
4,150,41.407,41.391,0
4,180,11.656,11.663,0
4,210,341.96,341.954,0
4,240,311.517,311.526,0
4,270,281.151,281.151,0
4,300,251.125,251.134,0
4,330,220.496,220.489,0
5,0,190.063,190.065,0
5,30,160.411,160.395,0
5,60,130.638,130.643,0
5,90,100.898,100.894,0
5,120,71.301,71.31,0
5,150,41.396,41.384,0
5,180,11.646,11.664,0
5,210,341.96,341.963,0
5,240,311.539,311.538,0
5,270,281.162,281.168,0
5,300,251.147,251.128,0
5,330,220.485,220.488,0
6,0,190.074,190.061,0
6,30,160.389,160.396,0
6,60,130.649,130.645,0
6,90,100.898,100.905,0
6,120,71.334,71.322,0
6,150,41.407,41.394,0
6,180,11.678,11.666,0
6,210,341.96,341.954,0
6,240,311.528,311.527,0
6,270,281.14,281.149,0
6,300,251.136,251.125,0
6,330,220.485,220.483,0
7,0,190.052,190.061,0
7,30,160.4,160.398,0
7,60,130.638,130.648,0
7,90,100.92,100.906,0
7,120,71.323,71.326,0
7,150,41.396,41.399,0
7,180,11.667,11.67,0
7,210,341.96,341.958,0
7,240,311.528,311.526,0
7,270,281.151,281.145,0
7,300,251.147,251.125,0
7,330,220.485,220.479,0
8,0,190.074,190.056,0
8,30,160.389,160.38,0
8,60,130.649,130.629,0
8,90,100.898,100.892,0
8,120,71.312,71.317,0
8,150,41.396,41.396,0
8,180,11.678,11.675,0
8,210,341.982,341.967,0
8,240,311.55,311.539,0
8,270,281.173,281.168,0
8,300,251.136,251.136,0
8,330,220.507,220.482,0
9,0,190.031,190.052,0
9,30,160.356,160.383,0
9,60,130.638,130.631,0
9,90,100.898,100.897,0
9,120,71.334,71.32,0
9,150,41.375,41.386,0
9,180,11.646,11.665,0
9,210,341.96,341.963,0
9,240,311.539,311.531,0
9,270,281.162,281.153,0
9,300,251.115,251.126,0
9,330,220.485,220.484,0
10,0,190.063,190.066,0
10,30,160.411,160.4,0
10,60,130.66,130.651,0
10,90,100.92,100.907,0
10,120,71.312,71.322,0
10,150,41.396,41.391,0
10,180,11.711,11.667,0
10,210,341.96,341.957,0
10,240,311.517,311.529,0
10,270,281.162,281.151,0
10,300,251.125,251.128,0
10,330,220.496,220.486,0
11,0,190.074,190.066,0
11,30,160.389,160.4,0
11,60,130.66,130.653,0
11,90,100.92,100.911,0
11,120,71.334,71.322,0
11,150,41.396,41.388,0
11,180,11.667,11.663,0
11,210,341.96,341.952,0
11,240,311.528,311.523,0
11,270,281.14,281.145,0
11,300,251.125,251.124,0
11,330,220.474,220.476,0
12,0,190.063,190.063,0
12,30,160.411,160.4,0
12,60,130.638,130.654,0
12,90,100.92,100.915,0
12,120,71.345,71.33,0
12,150,41.407,41.398,0
12,180,11.689,11.667,0
12,210,341.971,341.958,0
12,240,311.539,311.521,0
12,270,281.162,281.133,0
12,300,251.125,251.117,0
12,330,220.485,220.477,0
13,0,190.063,190.058,0
13,30,160.411,160.398,0
13,60,130.66,130.652,0
13,90,100.931,100.913,0
13,120,71.334,71.335,0
13,150,41.407,41.405,0
13,180,11.678,11.672,0
13,210,341.96,341.951,0
13,240,311.528,311.521,0
13,270,281.173,281.145,0
13,300,251.147,251.127,0
13,330,220.485,220.489,0
14,0,190.085,190.069,0
14,30,160.411,160.403,0
14,60,130.638,130.652,0
14,90,100.92,100.91,0
14,120,71.323,71.327,0
14,150,41.385,41.39,0
14,180,11.678,11.664,0
14,210,341.96,341.96,0
14,240,311.517,311.527,0
14,270,281.162,281.154,0
14,300,251.136,251.132,0
14,330,220.496,220.49,0
15,0,190.063,190.061,0
15,30,160.389,160.39,0
15,60,130.649,130.639,0
15,90,100.909,100.902,0
15,120,71.334,71.326,0
15,150,41.418,41.4,0
15,180,11.667,11.677,0
15,210,341.96,341.951,0
15,240,311.528,311.528,0
15,270,281.151,281.152,0
15,300,251.158,251.134,0
15,330,220.496,220.49,0
16,0,190.096,190.071,0
16,30,160.4,160.402,0
16,60,130.66,130.65,0
16,90,100.931,100.906,0
16,120,71.334,71.322,0
16,150,41.385,41.388,0
16,180,11.678,11.665,0
16,210,341.96,341.951,0
16,240,311.517,311.527,0
16,270,281.151,281.155,0
16,300,251.158,251.132,0
16,330,220.474,220.486,0
17,0,190.074,190.059,0
17,30,160.4,160.39,0
17,60,130.649,130.641,0
17,90,100.931,100.906,0
17,120,71.323,71.328,0
17,150,41.385,41.397,0
17,180,11.667,11.674,0
17,210,341.96,341.965,0
17,240,311.561,311.537,0
