Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,297.702,297.7057,0
1,90,27.8174,27.8199,0
1,180,117.1912,117.1871,0
1,270,208.1305,208.1368,0
2,0,297.713,297.7144,0
2,90,27.8174,27.8184,0
2,180,117.1912,117.1906,0
2,270,208.1415,208.1364,1
3,0,297.7075,297.7085,1
3,90,27.8284,27.8203,1
3,180,117.1912,117.191,0
3,270,208.136,208.1344,0
4,0,297.702,297.7068,0
4,90,27.8174,27.8168,0
4,180,117.1912,117.1922,0
4,270,208.1305,208.1312,0
5,0,297.702,297.7109,0
5,90,27.8174,27.8184,0
5,180,117.1912,117.1945,0
5,270,208.1305,208.1332,0
6,0,297.7075,297.7055,1
6,90,27.8339,27.8271,0
6,180,117.1912,117.1914,0
6,270,208.136,208.1344,0
7,0,297.713,297.7152,0
7,90,27.8284,27.8205,1
7,180,117.1802,117.1809,1
7,270,208.1305,208.1335,0
8,0,297.7185,297.7168,0
8,90,27.8284,27.821,1
8,180,117.1802,117.1813,1
8,270,208.1195,208.1343,0
9,0,297.7075,297.7084,1
9,90,27.8174,27.8185,0
9,180,117.1857,117.1872,0
9,270,208.136,208.1328,0
10,0,297.7185,297.7147,0
10,90,27.8119,27.8132,0
10,180,117.1857,117.1887,0
10,270,208.1415,208.1388,1
11,0,297.713,297.7091,0
11,90,27.8229,27.8225,1
11,180,117.1912,117.191,0
11,270,208.147,208.1423,0
12,0,297.7185,297.7088,0
12,90,27.8064,27.8145,1
12,180,117.2021,117.1942,1
12,270,208.136,208.1353,0
13,0,297.713,297.7117,0
13,90,27.8229,27.8192,1
13,180,117.1967,117.1945,1
13,270,208.1305,208.1346,0
14,0,297.7185,297.7094,0
14,90,27.8284,27.8239,1
14,180,117.1857,117.1887,0
14,270,208.1415,208.1373,1
15,0,297.713,297.7088,0
15,90,27.8174,27.8182,0
15,180,117.1912,117.1888,0
15,270,208.147,208.1335,0
16,0,297.713,297.7168,0
16,90,27.8174,27.8192,0
16,180,117.1912,117.1891,0
16,270,208.1415,208.1332,1
17,0,297.7185,297.71,0
17,90,27.8229,27.8207,1
17,180,117.1857,117.1805,0
17,270,208.136,208.1321,0
18,0,297.724,297.7209,1
18,90,27.8009,27.8129,1
18,180,117.1857,117.19,0
18,270,208.1195,208.1352,0
19,0,297.724,297.7196,1
19,90,27.8174,27.8203,0
19,180,117.1912,117.1882,0
19,270,208.1305,208.1354,0
20,0,297.7075,297.7082,1
20,90,27.8174,27.8147,0
20,180,117.1912,117.1919,0
20,270,208.1415,208.1409,1
21,0,297.713,297.7122,0
21,90,27.8119,27.8117,0
21,180,117.1967,117.1944,1
21,270,208.136,208.1354,0
22,0,297.702,297.7074,0
22,90,27.8174,27.8188,0
22,180,117.1802,117.1898,1
22,270,208.1415,208.1371,1
23,0,297.702,297.7056,0
23,90,27.8174,27.8188,0
23,180,117.1857,117.1906,0
23,270,208.1305,208.1314,0
24,0,297.713,297.7149,0
24,90,27.8229,27.825,1
24,180,117.1857,117.1928,0
24,270,208.136,208.1334,0
25,0,297.7075,297.7089,1
25,90,27.8284,27.83,1
25,180,117.1857,117.1836,0
25,270,208.136,208.1347,0
26,0,297.713,297.7123,0
26,90,27.8284,27.8281,1
26,180,117.1857,117.1855,0
26,270,208.136,208.1339,0
27,0,297.724,297.7227,1
27,90,27.8284,27.8205,1
27,180,117.1857,117.186,0
27,270,208.125,208.1315,1
28,0,297.713,297.715,0
28,90,27.8174,27.8189,0
28,180,117.1857,117.1872,0
28,270,208.1305,208.1321,0
29,0,297.7185,297.7209,0
29,90,27.8229,27.8156,1
29,180,117.1857,117.1884,0
29,270,208.1415,208.1361,1
30,0,297.7075,297.7148,1
30,90,27.8339,27.8191,0
30,180,117.2021,117.1903,1
30,270,208.147,208.1416,0
31,0,297.7075,297.7079,1
31,90,27.8174,27.8149,0
31,180,117.1912,117.1946,0
31,270,208.1305,208.1335,0
32,0,297.713,297.7137,0
32,90,27.8284,27.8208,1
32,180,117.1967,117.1968,1
32,270,208.125,208.1309,1
33,0,297.702,297.7084,0
33,90,27.8284,27.8247,1
33,180,117.1912,117.1931,0
33,270,208.136,208.1317,0
34,0,297.7185,297.7156,0
34,90,27.8229,27.8237,1
34,180,117.1857,117.1894,0
34,270,208.1305,208.1326,0
35,0,297.724,297.7211,1
35,90,27.8174,27.8161,0
35,180,117.1967,117.1913,1
35,270,208.125,208.1282,1
36,0,297.724,297.7186,1
36,90,27.8174,27.8176,0
36,180,117.1857,117.1918,0
36,270,208.125,208.1299,1
37,0,297.724,297.7214,1
37,90,27.8119,27.8133,0
37,180,117.1912,117.1898,0
37,270,208.136,208.1344,0
38,0,297.7185,297.7194,0
38,90,27.8174,27.8156,0
38,180,117.1912,117.1914,0
38,270,208.1305,208.133,0
39,0,297.713,297.7139,0
39,90,27.8174,27.8169,0
39,180,117.2021,117.1958,1
39,270,208.1305,208.1361,0
40,0,297.7185,297.7191,0
40,90,27.8174,27.8133,0
40,180,117.1967,117.198,1
40,270,208.136,208.1301,0
41,0,297.713,297.7114,0
41,90,27.8284,27.8191,1
41,180,117.1802,117.1903,1
41,270,208.114,208.1323,1
42,0,297.7075,297.7074,1
42,90,27.8174,27.8115,0
42,180,117.1912,117.1969,0
42,270,208.136,208.1289,0
43,0,297.7185,297.717,0
43,90,27.8119,27.8193,0
43,180,117.1967,117.1964,1
43,270,208.125,208.1238,1
44,0,297.702,297.7103,0
44,90,27.8174,27.8233,0
44,180,117.1857,117.1899,0
