Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,341.7023,341.7063,1
1,90,70.719,70.7145,0
1,180,161.131,161.1312,0
1,270,251.1145,251.1161,1
2,0,341.6748,341.6744,1
2,90,70.7245,70.7213,0
2,180,161.131,161.132,0
2,270,251.1035,251.1082,1
3,0,341.6748,341.6766,0
3,90,70.719,70.7196,0
3,180,161.1365,161.1362,0
3,270,251.1035,251.1093,0
4,0,341.6638,341.6714,0
4,90,70.7245,70.7212,0
4,180,161.1365,161.1364,0
4,270,251.1035,251.1081,1
5,0,341.6638,341.669,0
5,90,70.73,70.7226,0
5,180,161.1365,161.1318,0
5,270,251.098,251.0999,0
6,0,341.6693,341.6754,1
6,90,70.7245,70.7231,1
6,180,161.1475,161.1429,0
6,270,251.109,251.1031,1
7,0,341.6803,341.6761,1
7,90,70.73,70.7276,1
7,180,161.1365,161.1322,0
7,270,251.109,251.107,1
8,0,341.6913,341.6803,1
8,90,70.7245,70.7273,1
8,180,161.1255,161.1325,1
8,270,251.1035,251.1035,0
9,0,341.6693,341.6773,0
9,90,70.7135,70.719,0
9,180,161.142,161.1351,1
9,270,251.109,251.1119,0
10,0,341.6803,341.6783,1
10,90,70.719,70.7187,1
10,180,161.131,161.1311,0
10,270,251.109,251.1128,1
11,0,341.6748,341.6799,1
11,90,70.73,70.7238,1
11,180,161.1365,161.1342,0
11,270,251.109,251.1067,1
12,0,341.6748,341.6739,0
12,90,70.719,70.7149,1
12,180,161.1365,161.1403,0
12,270,251.109,251.1136,1
13,0,341.6693,341.6754,1
13,90,70.7135,70.7196,0
13,180,161.1365,161.1396,1
13,270,251.109,251.1043,1
14,0,341.6748,341.6723,1
14,90,70.73,70.7214,0
14,180,161.142,161.1457,0
14,270,251.109,251.1074,1
15,0,341.6803,341.6749,1
15,90,70.719,70.7205,1
15,180,161.142,161.137,0
15,270,251.109,251.1098,0
16,0,341.6748,341.6736,0
16,90,70.7245,70.7244,1
16,180,161.131,161.132,0
16,270,251.098,251.1011,0
17,0,341.6803,341.6802,1
17,90,70.719,70.7212,1
17,180,161.1365,161.138,1
17,270,251.1145,251.1061,1
18,0,341.6748,341.6829,1
18,90,70.719,70.7191,1
18,180,161.131,161.1335,0
18,270,251.109,251.1075,0
19,0,341.6803,341.6826,0
19,90,70.7245,70.7222,0
19,180,161.1365,161.1322,0
19,270,251.109,251.1017,1
20,0,341.6748,341.679,1
20,90,70.719,70.7123,0
20,180,161.1255,161.1308,0
20,270,251.1035,251.1131,1
21,0,341.6803,341.6799,0
21,90,70.7245,70.72,1
21,180,161.131,161.1311,0
21,270,251.098,251.1081,1
22,0,341.6638,341.673,0
22,90,70.719,70.7225,0
22,180,161.1365,161.1417,0
22,270,251.1035,251.1052,1
23,0,341.6638,341.6729,0
23,90,70.7245,70.7197,0
23,180,161.1365,161.1396,1
23,270,251.1035,251.1085,1
24,0,341.6638,341.6733,0
24,90,70.719,70.7272,1
24,180,161.1365,161.1333,0
24,270,251.087,251.1038,1
25,0,341.6748,341.6741,0
25,90,70.719,70.7235,1
25,180,161.1365,161.1382,0
25,270,251.109,251.103,1
26,0,341.6803,341.6803,1
26,90,70.719,70.7235,1
26,180,161.131,161.1304,0
26,270,251.109,251.1093,1
27,0,341.6803,341.6791,0
27,90,70.719,70.7257,1
27,180,161.1365,161.1311,0
27,270,251.098,251.1042,0
28,0,341.6803,341.6784,1
28,90,70.7245,70.7206,1
28,180,161.131,161.1318,0
28,270,251.12,251.1133,1
29,0,341.6803,341.681,1
29,90,70.719,70.718,0
29,180,161.131,161.1295,0
29,270,251.1255,251.1128,1
30,0,341.6748,341.6744,0
30,90,70.7245,70.7196,0
30,180,161.1365,161.1352,0
30,270,251.109,251.1067,1
31,0,341.6748,341.6754,1
31,90,70.7135,70.7129,0
31,180,161.1365,161.1446,0
31,270,251.1145,251.113,1
32,0,341.6693,341.6735,0
32,90,70.7135,70.7193,1
32,180,161.1365,161.1391,0
32,270,251.109,251.1061,0
33,0,341.6693,341.6686,0
33,90,70.719,70.7208,0
33,180,161.142,161.1425,1
33,270,251.109,251.1065,1
34,0,341.6748,341.6745,0
34,90,70.719,70.7207,0
34,180,161.1365,161.1384,0
34,270,251.1145,251.1083,1
35,0,341.6748,341.6734,0
35,90,70.7245,70.7278,1
35,180,161.1365,161.1408,1
35,270,251.1035,251.1025,1
36,0,341.6748,341.6772,0
36,90,70.7135,70.7175,1
36,180,161.1365,161.143,1
36,270,251.1035,251.1021,0
37,0,341.6858,341.6809,1
37,90,70.7135,70.7187,1
37,180,161.1365,161.1322,0
37,270,251.098,251.1026,1
38,0,341.6748,341.6787,1
38,90,70.719,70.7226,0
38,180,161.1365,161.1339,0
38,270,251.098,251.1048,1
39,0,341.6803,341.6798,0
39,90,70.7135,70.7165,1
39,180,161.1365,161.1405,0
39,270,251.109,251.1113,1
40,0,341.6803,341.681,1
40,90,70.7135,70.7124,1
40,180,161.131,161.135,1
40,270,251.1035,251.1067,1
41,0,341.6748,341.6756,0
41,90,70.7135,70.7141,0
41,180,161.1475,161.148,1
41,270,251.1145,251.1083,0
42,0,341.6858,341.6746,0
42,90,70.7135,70.7145,1
42,180,161.1475,161.1468,1
42,270,251.109,251.107,1
43,0,341.6693,341.6726,0
43,90,70.7135,70.718,0
43,180,161.1365,161.1449,0
43,270,251.098,251.1035,1
44,0,341.6803,341.6742,1
44,90,70.719,70.7209,1
44,180,161.1475,161.1534,1
44,270,251.109,251.1029,1
45,0,341.6803,341.6737,0
45,90,70.719,70.7157,0
45,180,161.1365,161.1375,0
45,270,251.1035,251.108,1
46,0,341.6803,341.6746,0
46,90,70.7245,70.7262,0
46,180,161.142,161.1412,1
46,270,251.109,251.1067,1
47,0,341.6748,341.6739,0
47,90,70.719,70.7177,0
47,180,161.1365,161.1367,1
47,270,251.1145,251.1113,1
48,0,341.6748,341.6793,0
48,90,70.708,70.7162,0
48,180,161.131,161.1308,0
48,270,251.109,251.1077,1
49,0,341.6748,341.6772,1
49,90,70.719,70.7159,0
49,180,161.131,161.1335,0
49,270,251.1145,251.1077,1
50,0,341.6748,341.6761,1
50,90,70.708,70.7151,0
50,180,161.142,161.1411,1
50,270,251.1035,251.1117,1
51,0,341.6803,341.6803,0
51,90,70.7135,70.7165,1
51,180,161.1365,161.1372,0
51,270,251.098,251.1025,1
52,0,341.6693,341.6759,1
52,90,70.7135,70.721,1
52,180,161.1475,161.1406,0
