Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
1,0,73.872,73.891,0
1,90,344.18,344.191,0
1,180,253.18,253.182,0
1,270,162.806,162.825,0
2,0,73.872,73.891,0
2,90,344.18,344.191,0
2,180,253.18,253.182,0
2,270,162.806,162.825,0
3,0,73.894,73.889,0
3,90,344.18,344.189,0
3,180,253.158,253.178,0
3,270,162.828,162.825,0
4,0,73.894,73.897,0
4,90,344.191,344.195,0
4,180,253.18,253.18,0
4,270,162.806,162.827,0
5,0,73.872,73.894,0
5,90,344.202,344.19,0
5,180,253.169,253.18,0
5,270,162.828,162.826,0
6,0,73.872,73.898,0
6,90,344.191,344.191,0
6,180,253.169,253.171,0
6,270,162.828,162.823,0
7,0,73.872,73.899,0
7,90,344.191,344.189,0
7,180,253.158,253.178,0
7,270,162.828,162.833,0
8,0,73.883,73.893,0
8,90,344.191,344.181,0
8,180,253.202,253.176,0
8,270,162.828,162.839,0
9,0,73.883,73.898,0
9,90,344.18,344.18,0
9,180,253.169,253.174,0
9,270,162.828,162.832,0
10,0,73.894,73.893,0
10,90,344.18,344.191,0
10,180,253.191,253.185,0
10,270,162.806,162.83,0
11,0,73.839,73.881,0
11,90,344.191,344.188,0
11,180,253.18,253.18,0
11,270,162.828,162.828,0
12,0,73.894,73.894,0
12,90,344.202,344.191,0
12,180,253.169,253.178,0
12,270,162.817,162.822,0
13,0,73.916,73.896,0
13,90,344.18,344.191,0
13,180,253.158,253.174,0
13,270,162.806,162.821,0
14,0,73.894,73.884,0
14,90,344.158,344.192,0
14,180,253.18,253.178,0
14,270,162.806,162.82,0
15,0,73.883,73.889,0
15,90,344.202,344.189,0
15,180,253.169,253.181,0
15,270,162.806,162.824,0
16,0,73.883,73.894,0
16,90,344.169,344.189,0
16,180,253.169,253.171,0
16,270,162.806,162.827,0
17,0,73.883,73.898,0
17,90,344.191,344.187,0
17,180,253.158,253.168,0
17,270,162.784,162.823,0
18,0,73.894,73.902,0
18,90,344.18,344.189,0
18,180,253.169,253.177,0
18,270,162.817,162.832,0
19,0,73.894,73.89,0
19,90,344.158,344.176,0
19,180,253.169,253.182,0
19,270,162.828,162.834,0
20,0,73.85,73.885,0
20,90,344.18,344.18,0
20,180,253.18,253.181,0
20,270,162.806,162.819,0
21,0,73.872,73.883,0
21,90,344.202,344.19,0
21,180,253.202,253.187,0
21,270,162.828,162.822,0
22,0,73.883,73.88,0
22,90,344.18,344.184,0
22,180,253.169,253.182,0
22,270,162.839,162.825,0
23,0,73.872,73.892,0
23,90,344.169,344.187,0
23,180,253.18,253.174,0
23,270,162.806,162.82,0
24,0,73.883,73.89,0
24,90,344.18,344.191,0
24,180,253.158,253.173,0
24,270,162.806,162.822,0
25,0,73.872,73.895,0
25,90,344.169,344.189,0
25,180,253.18,253.167,0
25,270,162.806,162.82,0
26,0,73.927,73.897,0
26,90,344.169,344.185,0
26,180,253.18,253.175,0
26,270,162.828,162.83,0
27,0,73.883,73.89,0
27,90,344.191,344.186,0
27,180,253.158,253.177,0
27,270,162.817,162.828,0
28,0,73.861,73.892,0
28,90,344.18,344.179,0
28,180,253.169,253.174,0
28,270,162.817,162.83,0
29,0,73.872,73.891,0
29,90,344.169,344.181,0
29,180,253.169,253.177,0
29,270,162.828,162.822,0
30,0,73.883,73.891,0
